ACS_EST_YR,GEO_ID,NAME,Own_20kto35K,Own_20kto35K_20to29pcnt,Own_20kto35K_30pcntOrMore,Own_20kto35K_Under_20pcnt,Own_35Kto50K,Own_35Kto50K_20to29pcnt,Own_35Kto50K_30pcntOrMore,Own_35Kto50K_Under_20pcnt,Own_50Kto75K,Own_50Kto75K_20to29pcnt,Own_50Kto75K_30pcntOrMore,Own_50Kto75K_Under_20pcnt,Own_Over75K,Own_Over75K_20to29pcnt,Own_Over75K_30pcntOrMore,Own_Over75K_Under_20pcnt,Own_Under20K,Own_Under20K_20to29pcnt,Own_Under20K_30pcntOrMore,Own_Under20K_Under_20pcnt,Rent_20kto35K,Rent_20kto35K_20to29pcnt,Rent_20kto35K_30pcntOrMore,Rent_20kto35K_Under_20pcnt,Rent_35Kto50K,Rent_35Kto50K_20to29pcnt,Rent_35Kto50K_30pcntOrMore,Rent_35Kto50K_Under_20pcnt,Rent_50Kto75K,Rent_50Kto75K_20to29pcnt,Rent_50Kto75K_30pcntOrMore,Rent_50Kto75K_Under_20pcnt,Rent_Over75K,Rent_Over75K_20to29pcnt,Rent_Over75K_30pcntOrMore,Rent_Over75K_Under_20pcnt,Rent_Under20K,Rent_Under20K_20to29pcnt,Rent_Under20K_30pcntOrMore,Rent_Under20K_Under_20pcnt,OBJECTID,SHAPE__Area,SHAPE__Length
2021,1400000US30031000101,"Census Tract 1.01, Gallatin County, Montana",9.9,1.2,8.7,0,6.2,0.4,1.8,4.1,14.9,2.6,8.2,4.1,61.7,18.9,7.4,35.4,3.4,0,3.4,0,9.1,5.9,3.3,0,11.9,4.9,7,0,12.6,0,10.3,2.3,55.5,2.3,0,53.2,10.8,0,10.8,0,1,174464738.3125,87779.0020961857
2021,1400000US30031000104,"Census Tract 1.04, Gallatin County, Montana",8.1,2.2,5.8,0,7.9,1.2,6.7,0,19.3,8.2,11.2,0,57.7,19.3,4.6,33.8,4,0,4,0,33.1,0,23.5,9.5,17.6,0,7,10.6,30.7,11.8,6.6,12.4,9.4,0,0,9.4,9.2,0,9.2,0,2,6995268.0234375,13177.3537234528
2021,1400000US30031000105,"Census Tract 1.05, Gallatin County, Montana",3.9,2.5,1.4,0,3,1.7,1.4,0,20.5,1.7,6.3,12.5,68.3,25,0.4,42.9,2.6,0,2.6,0,22.3,7.3,15.1,0,4.6,2.4,2.2,0,27.9,16.6,4.4,6.8,32,4.5,0,27.5,13.1,0,13.1,0,3,6582913.265625,12159.1213120043
2021,1400000US30031000201,"Census Tract 2.01, Gallatin County, Montana",10.2,1,6,3.2,6.3,0.8,4.1,1.5,22.8,3.5,14.4,5,52.8,13.6,3,36.2,7.3,0,7.3,0,3.8,0,3.8,0,0,0,0,0,14.5,14.5,0,0,61.1,6.5,4.1,50.4,0.3,0,0.3,0,4,30635280.6875,28525.2990634983
2021,1400000US30031000202,"Census Tract 2.02, Gallatin County, Montana",4.2,1.3,1.9,1.1,10,0,2.9,7.1,13.6,0.6,8,5,60,19.6,5.1,35.2,9.7,0,9.5,0.3,24,0,24,0,0,0,0,0,44.6,18.9,25.7,0,10.6,0,0,10.6,18,0,18,0,5,96205842.4375,61541.2112019061
2021,1400000US30031000300,"Census Tract 3, Gallatin County, Montana",9,0,6.7,2.3,10.5,0,1.1,9.4,15.7,1.4,1.8,12.5,52.2,10.9,0.7,40.5,12.6,2.4,8.6,1.6,11.9,3,8.9,0,4.2,1.5,2.7,0,56.5,30.1,3.6,22.9,23.8,10.1,0,13.7,0,0,0,0,6,1567679237.375,311882.475035856
2021,1400000US30031000400,"Census Tract 4, Gallatin County, Montana",8.3,1,6.3,0.9,11.3,3.2,1.9,6.2,19.7,1.8,4.5,13.3,55.5,6.7,6.6,42.2,4.9,0,4.9,0,10.4,1.1,9.3,0,20.1,1.3,7.9,11,15.2,5.1,5.7,4.4,31.6,8.2,0,23.4,10.8,0,10.8,0,7,956492224.375,147260.488527253
2021,1400000US30031000502,"Census Tract 5.02, Gallatin County, Montana",2.7,0.2,2,0.5,7,2,2.4,2.6,7.4,1.5,3.1,2.8,77.8,19.5,9,49.3,5.1,1.7,3,0.4,4.9,0,4.9,0,17.8,9.6,8.2,0,21.4,1.1,16.7,3.6,43.4,22.7,0,20.7,1.6,0,1.6,0,8,215136441.28125,125891.941974939
2021,1400000US30031000504,"Census Tract 5.04, Gallatin County, Montana",9.8,0.5,7.5,1.9,3.9,0.5,0.5,2.9,11.4,4.5,1.1,5.8,68.1,13,5.1,50,4.6,0.6,4.1,0,23.5,4.7,18.8,0,10.7,0,10.7,0,1.3,0,0,1.3,53.7,14.8,18.1,20.8,7.4,0,7.4,0,9,109112262.984375,73272.1065188873
2021,1400000US30031000505,"Census Tract 5.05, Gallatin County, Montana",5.6,0,0,5.6,4.5,1.8,2.7,0,18.1,5,6.4,6.7,60.7,17.5,1.9,41.3,11.1,0,11.1,0,10.9,0,10.9,0,0,0,0,0,10.8,0,6.7,4.1,59.1,17.1,0,42,19.2,0,19.2,0,10,15395342.0703125,18491.3863481103
2021,1400000US30031000506,"Census Tract 5.06, Gallatin County, Montana",9.6,2.1,6.2,1.3,0,0,0,0,13.6,4.1,8.4,1.1,76.9,11.2,10.9,54.9,0,0,0,0,7.3,0,7.3,0,11.7,2.3,9.4,0,27.2,3.4,15.1,8.8,21.5,9.8,1.4,10.3,16.8,0,16.8,0,11,10586945.890625,13828.3086972328
2021,1400000US30031000507,"Census Tract 5.07, Gallatin County, Montana",17.1,0,5.8,11.3,0,0,0,0,15.5,6.5,9,0,67.4,21.3,3.5,42.6,0,0,0,0,3.6,0,3.6,0,16.8,2,14.8,0,13.2,3.9,9.4,0,59.3,13,8.1,38.3,7.1,0,7.1,0,12,23988538.6015625,25014.5968875827
2021,1400000US30031000600,"Census Tract 6, Gallatin County, Montana",18.5,1.5,13.1,3.9,14.7,14.7,0,0,19.1,1.9,2.4,14.7,42.9,7.3,0,35.7,4.7,0,4.7,0,22,12.5,8.7,0.8,15.9,8.3,7.6,0,4.6,1.8,0,2.8,10.4,3.5,0,6.8,41.1,7.3,32.6,1.1,13,12427334.015625,17473.0128440438
2021,1400000US30031000701,"Census Tract 7.01, Gallatin County, Montana",3.3,1.1,2.2,0,12.2,0,4.2,8,9.1,0.9,5,3.2,68.6,16.6,3.9,48.1,6.7,1.2,5.5,0,25.8,3.9,21.9,0,11,2.1,7.2,1.7,19.6,10.2,4.9,4.5,34,1,0.6,32.5,9.5,0,9.5,0,14,5305553.6953125,13900.9128767163
2021,1400000US30031000703,"Census Tract 7.03, Gallatin County, Montana",6.8,0,6.8,0,2.8,0,2.8,0,43.8,19.2,16.4,8.2,33.9,0,8.5,25.4,12.7,0,12.7,0,22.2,4.6,17.6,0,10.8,8.3,2.5,0,16.8,0,4.8,12,45.9,25.9,0,19.9,4.4,0,4.4,0,15,2851896.65625,7567.11034719451
2021,1400000US30031000704,"Census Tract 7.04, Gallatin County, Montana",13.9,1.5,8.6,3.9,7.1,0,2.1,4.9,19.1,3.1,3.7,12.3,56.3,10.4,4.7,41.2,3.6,0,3.6,0,20.2,0,20.2,0,3.8,0,3.8,0,39.9,10,22.4,7.5,26,12,5.6,8.4,6.9,0,6.9,0,16,4040420.1796875,9269.39442036853
2021,1400000US30031000800,"Census Tract 8, Gallatin County, Montana",10.4,0,7.8,2.6,2.5,0,1.1,1.4,20.2,2.2,3.4,14.6,64.5,13.4,0,51.2,2.3,0,2.3,0,28.6,1.5,26.3,0.8,15.3,3,11,1.3,19.6,5.8,4.7,9.2,15.8,1.3,0,14.5,19.3,0,19.3,0,17,2289094.8203125,6542.47306484368
2021,1400000US30031000900,"Census Tract 9, Gallatin County, Montana",6.2,0,1.3,4.9,2.9,0,1.1,1.8,26.6,4,2.2,20.4,31,6,0.9,24,33.3,0,31.7,1.6,18.8,0,17.4,1.4,20.5,9.8,10.6,0,19.2,8.7,4.2,6.3,18.9,4.7,1.7,12.5,16.6,0,16.6,0,18,3287884.0234375,8127.77743217622
2021,1400000US30031001001,"Census Tract 10.01, Gallatin County, Montana",5.4,0.7,4.7,0,6,0.3,3.5,2.3,8.2,2.5,0.6,5.1,80.4,20.7,3.1,56.6,0,0,0,0,29.7,8.1,21.6,0,0,0,0,0,0,0,0,0,41.9,8.1,0,33.8,0,0,0,0,19,9792224.65625,13419.5499684886
2021,1400000US30031001002,"Census Tract 10.02, Gallatin County, Montana",12.4,4.9,2.4,5.1,4.6,1.2,1.1,2.2,23.4,3.6,12.9,6.9,53.7,12.1,1.8,39.7,5.9,0,5.9,0,22.1,0,22.1,0,18.7,8.8,9.9,0,25.6,19.6,3.4,2.6,21.8,9.2,1.6,10.9,10.7,0,10.7,0,20,20005589.8515625,23659.587984804
2021,1400000US30031001101,"Census Tract 11.01, Gallatin County, Montana",0,0,0,0,0,0,0,0,50,0,44.4,5.6,50,0,0,50,0,0,0,0,24.7,3.7,20.1,1,15.8,13.1,2.1,0.5,13.5,3.7,1.2,8.6,17,0.7,0,16.2,24.4,0,24.4,0,21,3624997.1875,8136.27997584998
2021,1400000US30031001102,"Census Tract 11.02, Gallatin County, Montana",6,3.1,2.8,0,6.7,5.4,0.7,0.6,13.8,1.2,5.4,7.2,71.4,14.2,8.4,48.8,2.1,0,2.1,0,17,1.6,15.5,0,17,6.8,8.4,1.8,7.8,3,1,3.8,31.1,4,3.9,23.1,25,0,25,0,22,41496770.171875,33253.548200453
2021,1400000US30031001200,"Census Tract 12, Gallatin County, Montana",6.9,1,5.3,0.6,8.3,1,3,4.3,13.2,0.4,2.2,10.7,67.4,7.4,8.3,51.6,3.8,1.1,2.2,0.4,4,0,4,0,15.4,2.4,9.2,3.9,37.4,1.8,8.8,26.8,20.4,3.3,0,17.1,9.4,0,9.4,0,23,1287260691.08984,209497.712187945
2021,1400000US30031001500,"Census Tract 15, Gallatin County, Montana",8.1,3.7,1.9,2.5,18.8,2.3,4.6,12,14.1,2.7,4.1,7.2,49.5,9.1,5.4,35,9.5,1,8.5,0,5.6,5.6,0,0,13.3,13.3,0,0,11.2,0,0,11.2,5.6,0,5.6,0,33.2,0,33.2,0,24,2659438974.75391,278490.772947879
2021,1400000US30031001600,"Census Tract 16, Gallatin County, Montana",3.6,0,3.6,0,8.5,0,2,6.5,10.8,1.3,9.4,0,73.9,21.2,7.8,44.8,2.4,0,2.4,0,16.6,2.5,9.2,4.9,6.7,0,6.7,0,36.7,2.8,20.8,13.1,31.4,12.4,0,19.1,8.5,0,8.5,0,25,2242705176.85156,254511.142829387
2021,1400000US30031001700,"Census Tract 17, Gallatin County, Montana",3.1,0.3,1.9,0.8,6.4,1.6,2.3,2.5,16.6,2.5,5.5,8.6,68.7,12.1,4.2,52.5,4.7,0,4.7,0,25.4,1.1,24.4,0,6.7,2.8,1.4,2.5,23.3,17.7,5.7,0,27.9,7.1,1.1,19.8,1.4,0,1.4,0,26,4397458054.65625,455593.083784601
