Date,Median_List_Price_BZN,Median_List_Price_MT,OBJECTID
2016/07/01 06:00:00+00,524950,309900,1
2016/08/01 06:00:00+00,525000,310000,2
2016/09/01 06:00:00+00,519450,309250,3
2016/10/01 06:00:00+00,529000,310000,4
2016/11/01 06:00:00+00,527000,313700,5
2016/12/01 07:00:00+00,552450,315000,6
2017/01/01 07:00:00+00,583500,314975,7
2017/02/01 07:00:00+00,592000,315000,8
2017/03/01 07:00:00+00,558125,319488,9
2017/04/01 06:00:00+00,599000,320000,10
2017/05/01 06:00:00+00,627000,325000,11
2017/06/01 06:00:00+00,592000,328188,12
2017/07/01 06:00:00+00,595000,329000,13
2017/08/01 06:00:00+00,574125,325000,14
2017/09/01 06:00:00+00,595000,325000,15
2017/10/01 06:00:00+00,600000,327000,16
2017/11/01 06:00:00+00,565750,328500,17
2017/12/01 07:00:00+00,575000,328500,18
2018/01/01 07:00:00+00,580450,329000,19
2018/02/01 07:00:00+00,597475,329950,20
2018/03/01 07:00:00+00,612500,338500,21
2018/04/01 06:00:00+00,597000,339897,22
2018/05/01 06:00:00+00,591925,346950,23
2018/06/01 06:00:00+00,595000,349250,24
2018/07/01 06:00:00+00,554500,346987,25
2018/08/01 06:00:00+00,534450,340000,26
2018/09/01 06:00:00+00,499000,335000,27
2018/10/01 06:00:00+00,485500,337000,28
2018/11/01 06:00:00+00,492450,338625,29
2018/12/01 07:00:00+00,499900,339000,30
2019/01/01 07:00:00+00,549250,335000,31
2019/02/01 07:00:00+00,571350,334500,32
2019/03/01 07:00:00+00,585100,343671,33
2019/04/01 06:00:00+00,599900,349900,34
2019/05/01 06:00:00+00,599450,355000,35
2019/06/01 06:00:00+00,599950,359900,36
2019/07/01 06:00:00+00,607363,359950,37
2019/08/01 06:00:00+00,635691,357273,38
2019/09/01 06:00:00+00,615052,353182,39
2019/10/01 06:00:00+00,599450,350000,40
2019/11/01 06:00:00+00,599000,349900,41
2019/12/01 07:00:00+00,592450,349000,42
2020/01/01 07:00:00+00,607450,346725,43
2020/02/01 07:00:00+00,669700,349000,44
2020/03/01 07:00:00+00,643225,350000,45
2020/04/01 06:00:00+00,604000,364650,46
2020/05/01 06:00:00+00,619000,379900,47
2020/06/01 06:00:00+00,727000,394950,48
2020/07/01 06:00:00+00,777000,399000,49
2020/08/01 06:00:00+00,819900,399500,50
2020/09/01 06:00:00+00,959500,399900,51
2020/10/01 06:00:00+00,954750,395950,52
2020/11/01 06:00:00+00,1120663,395125,53
2020/12/01 07:00:00+00,1188250,396750,54
2021/01/01 07:00:00+00,1300000,399000,55
2021/02/01 07:00:00+00,1296250,399500,56
2021/03/01 07:00:00+00,1053750,420000,57
2021/04/01 06:00:00+00,949750,437450,58
2021/05/01 06:00:00+00,1099000,461450,59
2021/06/01 06:00:00+00,964975,487400,60
2021/07/01 06:00:00+00,949950,521250,61
2021/08/01 06:00:00+00,860000,517200,62
2021/09/01 06:00:00+00,872250,537000,63
2021/10/01 06:00:00+00,950000,545000,64
2021/11/01 06:00:00+00,1288500,548475,65
2021/12/01 07:00:00+00,1516250,559200,66
2022/01/01 07:00:00+00,1849950,519950,67
2022/02/01 07:00:00+00,1405250,550000,68
2022/03/01 07:00:00+00,1406000,550000,69
2022/04/01 06:00:00+00,1297000,612450,70
2022/05/01 06:00:00+00,1046950,615000,71
2022/06/01 06:00:00+00,989000,639500,72
2022/07/01 06:00:00+00,999997,649900,73
2022/08/01 06:00:00+00,999500,637000,74
2022/09/01 06:00:00+00,998875,629950,75
2022/10/01 06:00:00+00,979900,629900,76
2022/11/01 06:00:00+00,975000,607500,77
2022/12/01 07:00:00+00,995000,599900,78
2023/01/01 07:00:00+00,1095000,614925,79
2023/02/01 07:00:00+00,1227250,644450,80
2023/03/01 07:00:00+00,1256250,650000,81
2023/04/01 06:00:00+00,1287500,660000,82
2023/05/01 06:00:00+00,1238000,675000,83
2023/06/01 06:00:00+00,1200000,675000,84
2023/07/01 06:00:00+00,1200000,675000,85
2023/08/01 06:00:00+00,1097500,650000,86
2023/09/01 06:00:00+00,999750,649995,87
2023/10/01 06:00:00+00,1018000,637500,88
2023/11/01 06:00:00+00,1074250,624950,89
2023/12/01 07:00:00+00,1197000,619000,90
2024/02/01 07:00:00+00,1197000,602475,91
2024/01/01 07:00:00+00,1196000,599900,92
2024/03/01 07:00:00+00,1099000,625000,93
2024/04/01 06:00:00+00,1026000,649000,94
2024/05/01 06:00:00+00,996875,654500,95
2024/06/01 06:00:00+00,985000,665000,96
2024/07/01 06:00:00+00,995500,672400,97
