nominaldiameter,facilityid,capacity_notes,life,rehab_project,capacity,feet_len,material,design_link,name,comment,install_date,sliplined,maintenance,objectid,rehab_year
8,G0001_G0002,,Active,,Less than 50 pct obligated,203.19857131,PVC,,Gallatin Park Subdivision,,2000,,City of Bozeman,1,
8,G0002_G0003,,Active,,Less than 50 pct obligated,400.38831146,PVC,,Gallatin Park Subdivision,,2000,,City of Bozeman,2,
10,G0101_G0102,,Active,,Less than 50 pct obligated,371.22258171,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,3,
10,G0102_G0103,,Active,,Less than 50 pct obligated,396.51071237,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,4,
10,G0103_G0104,,Active,,Less than 50 pct obligated,380.44097461,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,5,
10,G0104_G0105,,Active,,Less than 50 pct obligated,399.9254237,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,6,
10,G0105_G0106,,Active,,Less than 50 pct obligated,397.9873359,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,7,
10,G0106_G0107,,Active,,Less than 50 pct obligated,401.7130949,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,8,
10,G0107_G0108,,Active,,Less than 50 pct obligated,406.36930667,PVC,,Wheat Drive Sanitary Sewer Improvements,,1988,,City of Bozeman,9,
4,TAP1_G0111A,"6"" or smaller main",Active,,Greater than 75 pct obligated,40.55446944,PVC,,Ranch and Home Supply,,1995,,City of Bozeman,10,
10,G0213_G0214,,Active,,Less than 50 pct obligated,174.8265764,PVC,,Walmart,,1994,,City of Bozeman,11,
10,G0212_G0213,,Active,,Less than 50 pct obligated,166.41420748,VCP,,Westlake Dev.,,UNK,,City of Bozeman,12,
8,G0230_G0231,,Active,,Less than 50 pct obligated,299.84398982,PVC,,Hampton Inn,,2001,,City of Bozeman,13,
8,G0231_H0206,,Active,,Less than 50 pct obligated,399.42074048,PVC,,Hampton Inn,,2001,,City of Bozeman,14,
18,G0315_G0310,,Active,,Less than 50 pct obligated,8.80046683,VCP,,SID 432,,1963,,City of Bozeman,15,
8,G0346_G0345,,Active,,Less than 50 pct obligated,114.29491165,PVC,,Aspen Meadows,,2000,,City of Bozeman,16,
8,G0345_G0344,,Active,,Less than 50 pct obligated,103.16961973,PVC,,Aspen Meadows,,2000,,City of Bozeman,17,
8,D0605_D0606,,Active,,50 to 75 pct obligated,400.45354256,VCP,,SID 425,,1962,,City of Bozeman,18,
8,D0606_D0607,,Active,,50 to 75 pct obligated,90.92851592,VCP,,SID 425,,1962,,City of Bozeman,19,
8,F0301_F0302,,Active,,Less than 50 pct obligated,112.26108793,PVC,,Homestead,,1986,,City of Bozeman,20,
8,F0302_F0306,,Active,,Less than 50 pct obligated,266.75339208,PVC,,Homestead,,1986,,City of Bozeman,21,
12,G0439_G0460,,Active,,Less than 50 pct obligated,593.93793872,VCP,,1917,,1917,,City of Bozeman,22,
12,G0460_G0463,,Active,,Less than 50 pct obligated,314.8816582,VCP,,1917,,1917,,City of Bozeman,23,
12,G0463_G0468,,Active,,Less than 50 pct obligated,334.81520308,VCP,,1917,,1917,,City of Bozeman,24,
8,G0461_G0462,,Active,,Less than 50 pct obligated,554.7535123,VCP,,Karp's Addition,,UNK,,City of Bozeman,25,
8,G0462_G0463,,Active,,Less than 50 pct obligated,351.59142826,VCP,,1999 Sewer Rehab,Sliplined,1999,YES,City of Bozeman,26,
6,G0440_G0441,"6"" or smaller main",Active,2013 Sewer Rehabilitation Project,Greater than 75 pct obligated,445.57160878,VCP,,Hardboards - 2013 Sewer Rehab,,UNK,YES,City of Bozeman,27,2013
8,G0441_G0442,,Active,,Less than 50 pct obligated,4.80041062,PVC,,2013 Sewer Rehabilitation Project,,2013,YES,City of Bozeman,28,
6,G0442_G0443,"6"" or smaller main",Active,2013 Sewer Rehabilitation Project,Greater than 75 pct obligated,399.6833205,VCP,,Hardboards - 2013 Sewer Rehab,,UNK,YES,City of Bozeman,29,2013
6,G0443_G0444,"6"" or smaller main",Active,2013 Sewer Rehabilitation Project,Greater than 75 pct obligated,237.48791291,VCP,,Hardboards - 2013 Sewer Rehab,,UNK,YES,City of Bozeman,30,2013
18,G0581_G0582,,Active,,Less than 50 pct obligated,278.91778544,AC,,WPCA 125,,1969,,City of Bozeman,31,
18,G0582_G0583,,Active,,Less than 50 pct obligated,348.94363501,AC,,WPCA 125,,1969,,City of Bozeman,32,
18,G0583_G0584,,Active,,Less than 50 pct obligated,400.65462424,AC,,WPCA 125,,1969,,City of Bozeman,33,
20,G0584_G0585,,Active,,Less than 50 pct obligated,355.22759238,AC,,WPCA 125,Split flow,1969,,City of Bozeman,34,
20,G0585_G0586,,Active,,Less than 50 pct obligated,284.49110293,AC,,WPCA 125,,1969,,City of Bozeman,35,
24,G0586_G0401,,Active,,Less than 50 pct obligated,294.90385836,AC,,WPCA 125,,1969,,City of Bozeman,36,
24,G0401_G0402,,Active,,Less than 50 pct obligated,210.72693036,AC,,WPCA 125,,1969,,City of Bozeman,37,
24,G0402_G0403,,Active,,Less than 50 pct obligated,488.24918121,AC,,WPCA 125,,1969,,City of Bozeman,38,
24,G0403_G0404,,Active,,Less than 50 pct obligated,498.73754726,AC,,WPCA 125,,1969,,City of Bozeman,39,
6,G0413_G0423,"6"" or smaller main",Active,,Greater than 75 pct obligated,360.2106041,VCP,,SID 170,,1919,,City of Bozeman,40,
10,G0423_G0424,,Active,,Less than 50 pct obligated,138.86286943,VCP,,1917,,1917,,City of Bozeman,41,
10,G0424_G0425,,Active,,Less than 50 pct obligated,124.5670744,VCP,,1917,,1917,,City of Bozeman,42,
10,G0425_G0426,,Active,,Less than 50 pct obligated,135.5790053,VCP,,Sewer Rehab 1977,,1977,,City of Bozeman,43,
12,G0426_G0427,,Active,,Less than 50 pct obligated,549.89306887,VCP,,1917,,1917,,City of Bozeman,44,
12,G0427_G0428,,Active,,Less than 50 pct obligated,239.53122985,VCP,,1917,,1917,,City of Bozeman,45,
12,G0428_G0429,,Active,,Less than 50 pct obligated,371.10461771,VCP,,West Sanitary Trunk Sewer,Split flow,1952,,City of Bozeman,46,
12,G0429_G0430,,Active,,Less than 50 pct obligated,179.65286643,VCP,,West Sanitary Trunk Sewer,,1952,,City of Bozeman,47,
12,G0430_G0431,,Active,,Less than 50 pct obligated,460.22912705,VCP,,West Sanitary Trunk Sewer,,1952,,City of Bozeman,48,
12,G0431_G0304,,Active,,Less than 50 pct obligated,467.50265999,VCP,,West Sanitary Trunk Sewer,,1952,,City of Bozeman,49,
12,G0435_G0428,,Active,,Less than 50 pct obligated,361.26938788,VCP,,1917,Split flow,1917,,City of Bozeman,50,
12,G0435_G0436,,Active,,Less than 50 pct obligated,364.7614157,VCP,,1917,,1917,,City of Bozeman,51,
12,G0436_G0437,,Active,,Less than 50 pct obligated,318.36184187,VCP,,1917,,1917,,City of Bozeman,52,
12,G0437_G0438,,Active,,Less than 50 pct obligated,571.2645641,VCP,,1917,,1917,,City of Bozeman,53,
12,G0438_G0439,,Active,,Less than 50 pct obligated,337.2923872,VCP,,1917,,1917,,City of Bozeman,54,
12,G0414_G0415,,Active,,Less than 50 pct obligated,117.62608033,VCP,,10th Ave Sewer,Not in use,1954,,City of Bozeman,55,
12,G0415_G0416,,Active,,Less than 50 pct obligated,335.88389154,VCP,,Tenth Avenue Sanitary Trunk Sewer,,1954,,City of Bozeman,56,
12,G0416_G0417,,Active,,Less than 50 pct obligated,355.18907818,VCP,,Tenth Avenue Sanitary Trunk Sewer,,1954,,City of Bozeman,57,
12,G0417_G0418,,Active,,Less than 50 pct obligated,248.61160821,VCP,,Tenth Avenue Sanitary Trunk Sewer,Split flow,1954,,City of Bozeman,58,
12,G0418_G0419,,Active,,Less than 50 pct obligated,362.65379703,VCP,,Tenth Avenue Sanitary Trunk Sewer,,1954,,City of Bozeman,59,
12,G0420_G0421,,Active,,Less than 50 pct obligated,460.00929042,VCP,,Tenth Avenue Sanitary Trunk Sewer,,1954,,City of Bozeman,60,
12,G0421_G0302,,Active,,Less than 50 pct obligated,473.11636432,VCP,,Tenth Avenue Sanitary Trunk Sewer,,1954,,City of Bozeman,61,
8,G0417_G0427,,Active,,Less than 50 pct obligated,359.00802395,VCP,,SID 492,Split flow,1969,,City of Bozeman,62,
8,G0514_G0529,,Active,,Less than 50 pct obligated,324.86039588,VCP,,1917,,1917,,City of Bozeman,63,
8,G0529_G0530,,Active,,Less than 50 pct obligated,180.71849858,VCP,,1917,,1917,,City of Bozeman,64,
10,G0506_H0571,,Active,,Less than 50 pct obligated,321.65542993,VCP,,SID 388,Split flow,1956,,City of Bozeman,65,
12,G0512_G0519,,Active,,Less than 50 pct obligated,152.07647472,VCP,,SID 287,Split flow,1933,,City of Bozeman,66,
8,G0522_G0523,,Active,,Less than 50 pct obligated,415.86754524,VCP,,SID 165,,1918,,City of Bozeman,67,
8,G0523_G0524,,Active,,Less than 50 pct obligated,361.82690133,VCP,,SID 165,,1918,,City of Bozeman,68,
8,G0524_G0525,,Active,,Less than 50 pct obligated,358.85050023,VCP,,SID 165,,1918,,City of Bozeman,69,
8,G0525_G0526,,Active,,Less than 50 pct obligated,358.75235679,VCP,,SID 165,,1918,,City of Bozeman,70,
8,G0526_G0527,,Active,,Less than 50 pct obligated,359.81159834,VCP,,SID 165,,1918,,City of Bozeman,71,
8,G0527_G0528,,Active,,Less than 50 pct obligated,359.01725117,VCP,,SID 165,,1918,,City of Bozeman,72,
8,G0528_G0529,,Active,,Less than 50 pct obligated,216.51974914,VCP,,SID 165,,1918,,City of Bozeman,73,
6,G0539_G0540,"6"" or smaller main",Active,,Greater than 75 pct obligated,416.35395928,VCP,,SID 123,,1916,,City of Bozeman,74,
6,G0540_G0540A,"6"" or smaller main",Active,,Greater than 75 pct obligated,355.2673045,VCP,,SID 123,,1916,,City of Bozeman,75,
8,G0547_G0548,,Active,,Less than 50 pct obligated,536.67590314,VCP,,WPCA 125,Split flow,1969,,City of Bozeman,76,
8,G0548_G0553,,Active,,Less than 50 pct obligated,549.65085695,VCP,,WPCA 125,,1969,,City of Bozeman,77,
8,G0553_G0554,,Active,,Less than 50 pct obligated,208.80835844,VCP,,1917,,1917,,City of Bozeman,78,
6,G0555_G0553,"6"" or smaller main",Active,,Greater than 75 pct obligated,163.14021289,VCP,,1917,Label,1917,,City of Bozeman,79,
6,G0556_G0557,"6"" or smaller main",Active,,Greater than 75 pct obligated,405.40368713,VCP,,SID 88,,1915,,City of Bozeman,80,
6,G0557_G0558,"6"" or smaller main",Active,,Greater than 75 pct obligated,366.89755712,VCP,,SID 88,,1915,,City of Bozeman,81,
6,G0558_G0559,"6"" or smaller main",Active,,Greater than 75 pct obligated,360.41656445,VCP,,SID 88,,1915,,City of Bozeman,82,
6,G0571_G0590,"6"" or smaller main",Active,,Greater than 75 pct obligated,401.71373521,VCP,,Original Sewer,Label,UNK,,City of Bozeman,83,
6,G0566_G0565,"6"" or smaller main",Active,,Greater than 75 pct obligated,350.80397593,VCP,,SID 314,,1937,,City of Bozeman,84,
6,G0681_G0572,"6"" or smaller main",Active,,Greater than 75 pct obligated,192.58658555,VCP,,WPCA 125,Split flow,1969,,City of Bozeman,85,
6,G0669_G0670,"6"" or smaller main",Active,,Greater than 75 pct obligated,202.47405292,VCP,,SID 241,,1922,,City of Bozeman,86,
6,G0670_G0671,"6"" or smaller main",Active,,Greater than 75 pct obligated,362.10661086,VCP,,SID 241,,1922,,City of Bozeman,87,
6,G0671_G0672,"6"" or smaller main",Active,,Greater than 75 pct obligated,352.74752215,VCP,,SID 241,,1922,,City of Bozeman,88,
6,G0672_G0673,"6"" or smaller main",Active,,Greater than 75 pct obligated,353.49556803,VCP,,SID 241,,1922,,City of Bozeman,89,
6,G0673_G0674,"6"" or smaller main",Active,,Greater than 75 pct obligated,385.2186811,VCP,,SID 156,,1918,,City of Bozeman,90,
6,G0674_G0563,"6"" or smaller main",Active,,Greater than 75 pct obligated,193.72184725,VCP,,SID 156,,1918,,City of Bozeman,91,
8,G0719_G0718,,Active,,Less than 50 pct obligated,293.59669059,VCP,,SID 446,,1965,,City of Bozeman,92,
8,G0718_G0717,,Active,,Less than 50 pct obligated,294.79468187,VCP,,SID 446,,1965,,City of Bozeman,93,
8,G0717_G0716,,Active,,Less than 50 pct obligated,265.43913658,VCP,,SID 446,,1965,,City of Bozeman,94,
10,G0723_G0724,,Active,,Less than 50 pct obligated,219.42150638,PVC,,SID 525,,1973,,City of Bozeman,95,
10,G0724_G0725,,Active,,50 to 75 pct obligated,337.80129441,PVC,,SID 555,Split flow,1975,,City of Bozeman,96,
10,G0725_G0726,,Active,,50 to 75 pct obligated,231.15602158,PVC,,SID 555,,1975,,City of Bozeman,97,
8,G0846_G0847,,Active,,Less than 50 pct obligated,118.38201706,PVC,,Overbrook at Westridge,PRIVATE,1992,,Private,98,
8,G0849_G0856,,Active,,50 to 75 pct obligated,179.30187558,PVC,,Overbrook at Westridge,,1992,,City of Bozeman,99,
8,G0806_G0807,,Active,,Less than 50 pct obligated,399.35341099,PVC,,SID 601,,1978,,City of Bozeman,100,
8,G0807_G0808,,Active,,Less than 50 pct obligated,401.21384684,PVC,,SID 601,,1978,,City of Bozeman,101,
10,G0808_G0809,,Active,,Less than 50 pct obligated,298.80371505,PVC,,SID 601,,1978,,City of Bozeman,102,
10,G0809_G0810,,Active,,Less than 50 pct obligated,300.33653373,PVC,,SID 601,,1978,,City of Bozeman,103,
10,G0810_G0813,,Active,,Less than 50 pct obligated,309.43698864,PVC,,SID 601,,1978,,City of Bozeman,104,
10,G0813_G0817,,Active,,Less than 50 pct obligated,299.58302254,PVC,,SID 601,,1978,,City of Bozeman,105,
8,G0852_G0853,,Active,,Less than 50 pct obligated,262.32876556,PVC,,Allison Subdivision Phase 2,,2000,,City of Bozeman,106,
8,G0853_G0854,,Active,,Less than 50 pct obligated,242.21115447,PVC,,Allison Subdivision Phase 2,,2000,,City of Bozeman,107,
20,H5009_H5008,,Active,,50 to 75 pct obligated,455.33575577,AC,,WPCA 125,,1969,,City of Bozeman,108,
