USCensusID,City,CII.RES,US_census_region,Climate_region,Avg_population,January precipitation,February precipitation,March precipitation,April precipitation,May precipitation,June precipitation,July precipitation,August precipitation,September precipitation,October precipitation,November precipitation,December precipitation,Annual precipitation,January max temperature,February max temperature,March max temperature,April max temperature,May max temperature,June max temperature,July max temperature,August max temperature,September max temperature,October max temperature,November max temperature,December max temperature,Annual max temperature,January vapor pressure deficit,February vapor pressure deficit,March vapor pressure deficit,April vapor pressure deficit,May vapor pressure deficit,June vapor pressure deficit,July vapor pressure deficit,August vapor pressure deficit,September vapor pressure deficit,October vapor pressure deficit,November vapor pressure deficit,December vapor pressure deficit,Annual vapor pressure deficit,Number of employees accommodation sector,Number of employees administrative sector,Number of employees education sector,Number of employees finance sector,Number of  employees health sector,Number of employees information sector,Number of employees manufacturing sector,Number of employees otherservices,Number of employees professional sector,Number of employees realestate sector,Number of employees retail sector,Number of establishments accommodation sector,Number of establishments administrative sector,Number of establishments education sector,Number of establishments finance sector,Number of employees other services,Number of establishments information sector,Number of establishments manufacturing sector,Number of establishments otherservices,Number of establishments professional sector,Number of establishments realestate sector,Number of establishments retail sector,Family income 2010,GDP per capita 2016,Total housing units,Percent single-family houses,Percent medium density houses,Percent high density houses,Percent housing units built 1990 or later,Percent housing units built between 1950-1989,Percent housing units built before 1950,Percent housing units built earlier to 1990,Median rooms,Percent impervious area,Area open NLCD,Area low development NLCD,Area medium development NLCD,Area high development NLCD,Service area sq.meters
1600000US4801000,"Abilene city, Texas",0.727,South,Temperate,123729,25.9,35.6,42.5,45.8,80.8,84.8,49.2,60,67,67.2,37.1,30.5,52.2,13.9,15.9,20.5,25.5,29.3,33,35,35,31,25.9,19.5,14,24.875,10.8,18.2,16.7,22.7,26.4,30.9,37.1,37.8,28.4,20.8,14.4,10.3,22.875,7500,1750,145,2599,17250,981,1991,1707,1716,881,7619,284,141,24,240,375,52,83,205,256,162,533,51012,37553,48739,69.1,22.9,4.5,21.9,63.3,14.7,78,5.3,16.4,13874.8,10720.6,6208.8,3755.7,290335000
1600000US4500550,"Aiken city, South Carolina",NA,South,Temperate,29406,110.8,103.6,111.3,84.8,74.6,122.9,122.2,130.1,92.8,77.9,80.1,100.8,100.9916667,13.1,15.6,20,24.9,29.1,32.3,33.9,32.7,29.7,24.8,19.4,14.8,24.19166667,8.6,17.3,15.3,20.9,25.1,28.4,30.1,26.8,22.8,17.5,12.5,9.1,19.53333333,3030,7500,14,708,4505,299,1506,343,3750,168,3420,134,39,9,99,192,17,22,62,126,42,233,75212,52750,14679,70.2,24.8,3.4,44.8,49.6,7.1,56.7,6,9,7626.2,6274.4,1805.4,573.7,194774000
1600000US3501780,"Alamogordo city, New Mexico",0.205,West,Arid,32986,17.7,12.9,9.5,8.9,13.7,21.5,53.4,56.1,39.8,30,20,23.4,25.575,13.2,16.1,20.2,24.5,29.3,34.4,34.2,32.9,30.1,24.9,18.3,13,24.25833333,11,20.3,19.9,26.8,35.2,46,41,35.9,31.3,24,16,10.9,26.525,1750,245,10,294,2090,266,118,315,219,136,1966,75,23,2,42,86,10,10,51,48,43,136,49297,57892,14938,69,13.4,0.7,31.2,69.3,4.5,73.8,5.4,14.4,1792,3050.2,965,208.4,56002000
1600000US3502000,"Albuquerque city, New Mexico",0.38,West,Arid,614980,10.8,11.8,14.6,17.3,10.4,11.4,37.4,39.6,32.1,26.7,14.5,15.7,20.19166667,10,13.4,17.9,22,27,32.6,33.5,32,28.7,22.5,15.4,9.6,22.05,9.3,17.3,17.7,23.4,31.6,43.5,42.3,37.2,31.1,22.1,13.9,8.8,24.85,29238,19582,1268,11279,46890,7054,10810,6645,16802,4012,31702,1281,647,191,981,1762,276,482,974,2040,851,1885,59191,42723,243402,62.5,24,9.5,34.1,57.6,7.2,64.8,5.3,26.9,11553.2,32002.9,24592.5,5344.4,489188000
1600000US4202184,"Altoona city, Pennsylvania",0.454,Northeast,Continental,54369,65.2,55.3,79.2,80,97.6,84.8,82.1,85.5,97.6,78.9,86.9,76.5,80.8,1.3,3,8.1,15.4,20.9,25.4,27.7,26.9,22.9,16.6,10.1,3.7,15.16666667,3,5.3,6.5,11.3,14.6,17,19,18,13.8,9.8,6.3,3.4,10.66666667,2176,1149,95,996,5724,383,1006,728,791,193,4693,137,78,9,90,217,23,45,125,88,41,248,48750,37482,20813,72.3,22,5,5.4,37.1,58.7,95.8,6.1,18.9,4855.7,6346.8,3384.4,1673.1,131990000
1600000US4803000,"Amarillo city, Texas",0.653,South,Arid,196728,17,15.3,30.3,32.7,58.8,76.9,62.3,76,48.9,40.3,20.5,17.9,41.40833333,10,12.1,17,21.6,26.1,31,32.8,31.8,28,22.2,15.8,9.8,21.51666667,9.4,15.5,15.8,20.8,25.3,32.2,35.2,31.7,26,19.4,13.7,9.1,21.175,10147,7500,362,5139,16512,1411,12263,2614,4066,1247,12920,500,234,33,433,652,67,159,350,464,272,841,55067,45788,83785,71.7,17.6,6.8,23.2,62.3,14.9,77.2,5.1,25.2,7145.7,19825.2,7535.3,4717.4,266556000
1600000US2401600,"Annapolis city, Maryland",0.392,South,Temperate,38059,79.2,71.6,105.8,91,111.2,107.9,111.4,101.4,113.2,101.7,83.3,93.2,97.575,5.6,7.1,11.4,17.6,22.5,27.6,29.9,28.8,25.4,19.4,13.5,8.2,18.08333333,4.9,8,8.4,12.4,15.4,19.3,22.1,19.7,15.8,11.3,7.9,5.5,12.55833333,4975,614,180,898,2422,1370,324,2381,2143,449,7230,194,63,21,135,188,64,37,208,373,98,488,88646,58970,17358,37.1,50.6,12.4,23.7,55.4,19.9,75.3,5.3,32.4,780.5,1572.5,1125.2,393.7,20991700
1600000US4804000,"Arlington city, Texas",0.35,South,Temperate,366503,64,69.4,86,79.7,130,105.8,63.8,57.9,79.3,112,71.7,70.6,82.51666667,13.5,15.7,20,24.5,28.2,32.6,35,35.4,31.5,25.9,19.4,14.1,24.65,9.5,15.9,13.9,17.5,20.1,27.1,34.4,36.9,28.1,19.7,12.7,9.3,20.425,15492,10880,678,8428,19213,2654,9679,3004,5727,1915,17817,684,351,59,484,928,117,224,445,737,379,1147,61068,63660,147407,60.1,29.6,9,31.7,65.3,1.7,67,5.2,34.8,12585.8,18430.1,13634.6,6999.2,257718000
1600000US3702140,"Asheville city, North Carolina",0.782,South,Temperate,125000,76,75.4,85.2,82.9,83.1,80.1,87.1,84.5,87.3,62.6,72.8,78.1,79.59166667,8.4,10.4,14.7,19.8,23.7,27.3,28.9,28.2,25,20.1,15.1,10.1,19.30833333,5.9,10.5,10.2,14.7,16.3,18.9,20.3,19,15.7,12.6,9.4,6.3,13.31666667,11795,4845,183,2170,17386,1395,4595,1735,3523,785,11310,541,187,46,287,645,86,130,286,583,244,776,53439,36925,43856,54.6,31.3,10,29.9,44.3,26.2,70.5,5,9.8,36381.8,12329.8,5598.9,2036.7,472590000
1600000US2302060,"Auburn city, Maine",NA,Northeast,Continental,16996,78.4,79.8,99.7,107.9,97.2,109.8,87.8,86.4,94.1,118.8,107.2,107.4,97.875,-1.7,0.2,4.8,11.8,18.4,23.2,26.3,25.7,21.4,14.7,7.8,1.6,12.85,2.7,3.9,5.1,8.8,12.9,15.8,18.3,17.3,12.9,8.6,5.2,3.1,9.55,1502,1664,10,912,1943,175,2457,400,694,114,3117,78,43,2,50,119,9,44,70,57,44,159,56656,33300,10857,52.4,36.3,9.4,12.5,37.6,49.3,86.9,5.3,26.6,2097.3,1885.5,1387.7,852.8,37249400
